exercise,w1,r1,w2,r2,volume,delta_weight,delta_reps,session_gap,session_date,next_weight,next_reps
Cable Fly Crossovers,15.0,18,5.0,22,1125.0,-10.0,4.0,7.04375,2025-12-30T10:24:00+00:00,15.0,25.0
Cable Fly Crossovers,25.0,12,15.0,17,930.0,-10.0,5.0,7.043055555555555,2026-01-06T11:27:00+00:00,20.0,18.0
Cable Fly Crossovers,25.0,14,15.0,13,905.0,-10.0,-1.0,3.936111111111111,2026-01-13T12:29:00+00:00,20.0,22.0
Cable Fly Crossovers,25.0,18,15.0,20,1190.0,-10.0,2.0,2.96875,2026-01-17T10:57:00+00:00,20.0,20.0
Cable Fly Crossovers,25.0,18,15.0,18,1120.0,-10.0,0.0,7.009027777777778,2026-01-20T10:12:00+00:00,20.0,22.0
Cable Fly Crossovers,25.0,19,10.0,20,1115.0,-15.0,1.0,10.953472222222222,2026-01-27T10:25:00+00:00,10.0,35.0
Cable Fly Crossovers,15.0,30,5.0,22,910.0,-10.0,-8.0,7.066666666666666,2026-02-07T09:18:00+00:00,15.0,20.0
Cable Fly Crossovers,15.0,12,10.0,20,1080.0,-5.0,8.0,2.9868055555555557,2026-02-14T10:54:00+00:00,15.0,25.0
Cable Fly Crossovers,10.0,20,5.0,20,1075.0,-5.0,0.0,3.9923611111111112,2026-02-17T10:35:00+00:00,15.0,22.0
Cable Fly Crossovers,20.0,18,10.0,22,910.0,-10.0,4.0,3.0243055555555554,2026-02-21T10:24:00+00:00,20.0,18.0
Cable Fly Crossovers,25.0,12,15.0,15,885.0,-10.0,3.0,3.9694444444444446,2026-02-24T10:59:00+00:00,20.0,20.0
Cable Fly Crossovers,25.0,15,10.0,16,935.0,-15.0,1.0,4.100694444444445,2026-02-28T10:15:00+00:00,25.0,15.0
Cable Fly Crossovers,20.0,20,10.0,20,975.0,-10.0,0.0,3.692361111111111,2026-03-04T12:40:00+00:00,15.0,26.0
Cable Fly Crossovers,20.0,20,10.0,25,1040.0,-10.0,5.0,2.2819444444444446,2026-03-08T05:17:00+00:00,20.0,18.0
Cable Fly Crossovers,25.0,12,15.0,18,930.0,-10.0,6.0,3.9319444444444445,2026-03-10T12:03:00+00:00,20.0,22.0
Cable Fly Crossovers,25.0,13,15.0,15,990.0,-10.0,2.0,3.0743055555555556,2026-03-14T10:25:00+00:00,15.0,25.0
Chest Press (Machine),50.0,12,40.0,12,3255.0,-10.0,0.0,36.018055555555556,2025-05-23T10:49:00+00:00,50.0,22.0
Chest Press (Machine),50.0,10,40.0,10,3980.0,-10.0,0.0,17.077083333333334,2025-06-28T11:15:00+00:00,55.0,17.0
Chest Press (Machine),60.0,15,45.0,12,3215.0,-15.0,-3.0,45.888888888888886,2025-07-15T13:06:00+00:00,55.0,20.0
Chest Press (Machine),60.0,18,50.0,9,3770.0,-10.0,-9.0,6.867361111111111,2025-08-30T10:26:00+00:00,60.0,19.0
Chest Press (Machine),50.0,6,40.0,6,3720.0,-10.0,0.0,7.167361111111111,2025-09-06T07:15:00+00:00,60.0,20.0
Chest Press (Machine),65.0,15,55.0,5,3360.0,-10.0,-10.0,6.973611111111111,2025-09-13T11:16:00+00:00,60.0,22.0
Chest Press (Machine),70.0,12,60.0,5,3630.0,-10.0,-7.0,3.1006944444444446,2025-09-20T10:38:00+00:00,65.0,15.0
Chest Press (Machine),65.0,15,50.0,10,3425.0,-15.0,-5.0,6.996527777777778,2025-09-23T13:03:00+00:00,60.0,20.0
Chest Press (Machine),65.0,17,60.0,17,3325.0,-5.0,0.0,3.942361111111111,2025-09-30T12:58:00+00:00,60.0,25.0
Chest Press (Machine),60.0,7,50.0,8,4140.0,-10.0,1.0,3.1180555555555554,2025-10-04T11:35:00+00:00,55.0,25.0
Chest Press (Machine),70.0,14,60.0,10,4005.0,-10.0,-4.0,10.808333333333334,2025-10-07T14:25:00+00:00,60.0,19.0
Chest Press (Machine),70.0,17,50.0,11,4115.0,-20.0,-6.0,7.178472222222222,2025-10-18T09:49:00+00:00,65.0,16.0
Chest Press (Machine),70.0,17,45.0,10,3850.0,-25.0,-7.0,9.856944444444444,2025-10-25T14:06:00+00:00,65.0,22.0
Chest Press (Machine),70.0,16,70.0,17,3740.0,0.0,1.0,7.038194444444445,2025-11-04T10:40:00+00:00,70.0,18.0
Chest Press (Machine),70.0,20,60.0,10,4590.0,-10.0,-10.0,6.982638888888889,2025-11-11T11:35:00+00:00,70.0,20.0
Chest Press (Machine),55.0,13,45.0,15,5275.0,-10.0,2.0,4.045138888888889,2025-11-18T11:10:00+00:00,70.0,22.0
Chest Press (Machine),65.0,15,55.0,9,3835.0,-10.0,-6.0,9.925,2025-11-22T12:15:00+00:00,65.0,14.0
Chest Press (Machine),50.0,15,40.0,16,4310.0,-10.0,1.0,4.013888888888889,2025-12-02T10:27:00+00:00,60.0,17.0
Chest Press (Machine),70.0,7,55.0,17,3615.0,-15.0,10.0,3.002083333333333,2025-12-06T10:47:00+00:00,65.0,17.0
Chest Press (Machine),55.0,12,45.0,12,4125.0,-10.0,0.0,3.9993055555555554,2025-12-09T10:50:00+00:00,65.0,18.0
Chest Press (Machine),60.0,10,45.0,12,4560.0,-15.0,2.0,2.9770833333333333,2025-12-13T10:49:00+00:00,65.0,20.0
Chest Press (Machine),50.0,12,45.0,12,4610.0,-5.0,0.0,4.009027777777778,2025-12-16T10:16:00+00:00,65.0,20.0
Chest Press (Machine),75.0,8,60.0,8,3780.0,-15.0,0.0,3.0340277777777778,2025-12-20T10:29:00+00:00,70.0,13.0
Chest Press (Machine),70.0,20,60.0,9,4150.0,-10.0,-11.0,3.9631944444444445,2025-12-23T11:18:00+00:00,70.0,15.0
Chest Press (Machine),70.0,18,55.0,12,4160.0,-15.0,-6.0,2.9993055555555554,2025-12-27T10:25:00+00:00,70.0,17.0
Chest Press (Machine),50.0,13,40.0,12,3400.0,-10.0,-1.0,4.006944444444445,2025-12-30T10:24:00+00:00,65.0,20.0
Chest Press (Machine),70.0,20,70.0,21,4170.0,0.0,1.0,3.0368055555555555,2026-01-03T10:34:00+00:00,70.0,20.0
Chest Press (Machine),75.0,13,55.0,15,4100.0,-20.0,2.0,3.9833333333333334,2026-01-06T11:27:00+00:00,55.0,26.0
Chest Press (Machine),65.0,21,50.0,9,4805.0,-15.0,-12.0,3.0597222222222222,2026-01-10T11:03:00+00:00,70.0,20.0
Chest Press (Machine),75.0,15,60.0,12,4370.0,-15.0,-3.0,3.936111111111111,2026-01-13T12:29:00+00:00,70.0,20.0
Chest Press (Machine),75.0,18,60.0,15,5050.0,-15.0,-3.0,2.96875,2026-01-17T10:57:00+00:00,75.0,17.0
Chest Press (Machine),75.0,15,60.0,10,4350.0,-15.0,-5.0,4.00625,2026-01-20T10:12:00+00:00,75.0,20.0
Chest Press (Machine),75.0,17,65.0,14,4645.0,-10.0,-3.0,3.0027777777777778,2026-01-24T10:21:00+00:00,75.0,22.0
Chest Press (Machine),75.0,16,65.0,5,4455.0,-10.0,-11.0,4.004861111111111,2026-01-27T10:25:00+00:00,75.0,23.0
Chest Press (Machine),65.0,20,50.0,10,4650.0,-15.0,-10.0,3.0131944444444443,2026-01-31T10:32:00+00:00,70.0,20.0
Chest Press (Machine),60.0,20,40.0,12,4480.0,-20.0,-8.0,3.935416666666667,2026-02-03T10:51:00+00:00,40.0,30.0
Chest Press (Machine),50.0,23,45.0,12,2890.0,-5.0,-11.0,3.1305555555555555,2026-02-07T09:18:00+00:00,60.0,20.0
Concentration Curl,5.0,20,7.5,18,235.0,2.5,-2.0,7.0,2025-12-29T10:27:00+00:00,5.0,25.0
Concentration Curl,7.5,22,5.0,20,390.0,-2.5,-2.0,13.997916666666667,2026-01-05T10:27:00+00:00,7.5,22.0
Concentration Curl,7.5,15,5.0,22,697.5,-2.5,7.0,14.197916666666666,2026-01-19T10:24:00+00:00,7.5,22.0
Concentration Curl,7.5,15,5.0,20,752.5,-2.5,5.0,6.81875,2026-02-02T15:09:00+00:00,7.5,22.0
Concentration Curl,10.0,14,5.0,22,415.0,-5.0,8.0,28.01597222222222,2026-02-09T10:48:00+00:00,7.5,25.0
Concentration Curl,10.0,16,7.5,16,467.5,-2.5,0.0,7.03125,2026-03-09T11:11:00+00:00,7.5,26.0
Cross Body Hammer Curl,12.5,18,7.5,12,740.0,-5.0,-6.0,4.996527777777778,2025-11-26T10:34:00+00:00,12.5,20.0
Cross Body Hammer Curl,15.0,17,10.0,12,865.0,-5.0,-5.0,2.0131944444444443,2025-12-01T10:29:00+00:00,15.0,15.0
Cross Body Hammer Curl,15.0,14,10.0,15,795.0,-5.0,1.0,4.955555555555556,2025-12-03T10:48:00+00:00,15.0,15.0
Cross Body Hammer Curl,10.0,12,7.5,15,787.5,-2.5,3.0,2.0347222222222223,2025-12-08T09:44:00+00:00,15.0,17.0
Cross Body Hammer Curl,12.5,12,7.5,16,937.5,-5.0,4.0,4.959722222222222,2025-12-10T10:34:00+00:00,15.0,20.0
Cross Body Hammer Curl,17.5,12,12.5,9,832.5,-5.0,-3.0,7.041666666666667,2025-12-15T09:36:00+00:00,15.0,20.0
Cross Body Hammer Curl,10.0,15,7.5,12,1117.5,-2.5,-3.0,1.9916666666666667,2025-12-22T10:36:00+00:00,15.0,21.0
Crunch (Machine),5.0,9,2.5,9,337.5,-2.5,0.0,1.9958333333333333,2025-05-20T10:27:00+00:00,7.5,20.0
Crunch (Machine),5.0,9,2.5,4,340.0,-2.5,-5.0,3.9833333333333334,2025-05-22T10:21:00+00:00,7.5,22.0
Crunch (Machine),5.0,6,2.5,6,310.0,-2.5,0.0,3.0340277777777778,2025-05-26T09:57:00+00:00,10.0,15.0
Crunch (Machine),7.5,7,5.0,9,542.5,-2.5,2.0,6.948611111111111,2025-05-29T10:46:00+00:00,10.0,20.0
Crunch (Machine),7.5,10,5.0,10,607.5,-2.5,0.0,3.9868055555555557,2025-06-05T09:32:00+00:00,12.5,12.0
Crunch (Machine),10.0,7,7.5,6,547.5,-2.5,-1.0,3.0194444444444444,2025-06-09T09:13:00+00:00,12.5,16.0
Crunch (Machine),7.5,8,2.5,8,487.5,-5.0,0.0,11.980555555555556,2025-06-12T09:41:00+00:00,10.0,17.0
Crunch (Machine),7.5,7,5.0,10,547.5,-2.5,3.0,7.017361111111111,2025-06-24T09:13:00+00:00,12.5,13.0
Crunch (Machine),10.0,10,7.5,8,627.5,-2.5,-2.0,7.047916666666667,2025-07-01T09:38:00+00:00,12.5,15.0
Crunch (Machine),10.0,8,7.5,8,645.0,-2.5,0.0,12.952083333333333,2025-07-08T10:47:00+00:00,10.0,20.0
Crunch (Machine),10.0,12,7.5,12,710.0,-2.5,0.0,11.127083333333333,2025-07-21T09:38:00+00:00,10.0,22.0
Crunch (Machine),7.5,12,5.0,8,575.0,-2.5,-4.0,4.004166666666666,2025-08-01T12:41:00+00:00,12.5,19.0
Crunch (Machine),10.0,20,7.5,15,655.0,-2.5,-5.0,7.000694444444444,2025-08-05T12:47:00+00:00,10.0,12.0
Crunch (Machine),12.5,13,7.5,7,625.0,-5.0,-6.0,26.916666666666668,2025-08-12T12:48:00+00:00,10.0,20.0
Crunch (Machine),7.5,13,5.0,6,552.5,-2.5,-7.0,15.09375,2025-09-08T10:48:00+00:00,10.0,20.0
Crunch (Machine),10.0,12,5.0,12,665.0,-5.0,0.0,20.018055555555556,2025-09-23T13:03:00+00:00,7.5,20.0
Crunch (Machine),15.0,7,10.0,13,667.5,-5.0,6.0,2.9770833333333333,2025-10-13T13:29:00+00:00,10.0,22.0
Crunch (Machine),12.5,7,7.5,7,857.5,-5.0,0.0,11.877083333333333,2025-10-16T12:56:00+00:00,10.0,18.0
Crunch (Machine),7.5,7,10.0,18,180.0,2.5,11.0,3.167361111111111,2025-10-28T09:59:00+00:00,10.0,20.0
Crunch (Machine),10.0,14,5.0,15,875.0,-5.0,1.0,12.852083333333333,2025-10-31T14:00:00+00:00,5.0,23.0
Crunch (Machine),5.0,23,7.5,15,227.5,2.5,-8.0,7.047916666666667,2025-11-13T10:27:00+00:00,7.5,23.0
Crunch (Machine),10.0,20,5.0,12,432.5,-5.0,-8.0,6.944444444444445,2025-11-20T11:36:00+00:00,7.5,22.0
Crunch (Machine),10.0,20,5.0,10,415.0,-5.0,-10.0,5.007638888888889,2025-11-27T10:16:00+00:00,10.0,20.0
Crunch (Machine),12.5,14,5.0,15,775.0,-7.5,1.0,7.0159722222222225,2025-12-02T10:27:00+00:00,10.0,22.0
Crunch (Machine),7.5,15,5.0,12,605.0,-2.5,-3.0,2.0006944444444446,2025-12-09T10:50:00+00:00,12.5,22.0
Crunch (Machine),10.0,12,7.5,15,657.5,-2.5,3.0,4.975694444444445,2025-12-11T10:51:00+00:00,10.0,23.0
Crunch (Machine),12.5,6,7.5,6,837.5,-5.0,0.0,2.0347222222222223,2025-12-16T10:16:00+00:00,12.5,22.0
Crunch (Machine),15.0,13,7.5,15,912.5,-7.5,2.0,5.008333333333334,2025-12-18T11:06:00+00:00,12.5,23.0
Crunch (Machine),10.0,14,5.0,15,682.5,-5.0,1.0,1.9673611111111111,2025-12-23T11:18:00+00:00,12.5,24.0
Crunch (Machine),15.0,12,7.5,12,945.0,-7.5,0.0,4.995138888888889,2025-12-25T10:31:00+00:00,12.5,25.0
Crunch (Machine),10.0,15,5.0,12,762.5,-5.0,-3.0,4.75625,2025-12-30T10:24:00+00:00,15.0,12.0
Crunch (Machine),10.0,22,7.5,15,682.5,-2.5,-7.0,2.2875,2026-01-04T04:33:00+00:00,15.0,17.0
Crunch (Machine),10.0,14,5.0,13,865.0,-5.0,-1.0,1.9631944444444445,2026-01-06T11:27:00+00:00,15.0,23.0
Crunch (Machine),12.5,15,10.0,15,970.0,-2.5,0.0,5.079861111111111,2026-01-08T10:34:00+00:00,15.0,20.0
Crunch (Machine),12.5,15,5.0,17,882.5,-7.5,2.0,1.9875,2026-01-13T12:29:00+00:00,15.0,17.0
Crunch (Machine),12.5,12,7.5,13,810.0,-5.0,1.0,4.917361111111111,2026-01-15T12:11:00+00:00,15.0,12.0
Crunch (Machine),12.5,14,7.5,16,815.0,-5.0,2.0,2.0819444444444444,2026-01-20T10:12:00+00:00,15.0,20.0
Crunch (Machine),12.5,13,7.5,15,930.0,-5.0,2.0,4.927083333333333,2026-01-22T12:10:00+00:00,15.0,21.0
Crunch (Machine),12.5,10,10.0,12,935.0,-2.5,2.0,14.084027777777777,2026-01-27T10:25:00+00:00,5.0,24.0
Crunch (Machine),10.0,12,5.0,15,675.0,-5.0,3.0,2.004166666666667,2026-02-10T12:26:00+00:00,5.0,27.0
Crunch (Machine),5.0,12,2.5,12,395.0,-2.5,0.0,11.935416666666667,2026-02-12T12:32:00+00:00,7.5,20.0
Crunch (Machine),7.5,12,5.0,12,487.5,-2.5,0.0,5.9743055555555555,2026-02-24T10:59:00+00:00,10.0,19.0
Crunch (Machine),12.5,17,7.5,12,492.5,-5.0,-5.0,15.07638888888889,2026-03-02T10:22:00+00:00,12.5,18.0
Dead Hang,0.0,0,0.0,0,0.0,0.0,0.0,29.065277777777776,2025-06-09T09:13:00+00:00,0.0,0.0
Dead Hang,0.0,0,0.0,0,0.0,0.0,0.0,244.01666666666668,2025-07-08T10:47:00+00:00,0.0,0.0
Dead Hang,0.0,0,0.0,0,0.0,0.0,0.0,5.78125,2026-03-09T11:11:00+00:00,0.0,0.0
Dead Hang,0.0,0,0.0,0,0.0,0.0,0.0,3.9381944444444446,2026-03-15T05:56:00+00:00,0.0,0.0
EZ Bar Biceps Curl,15.0,16,10.0,16,1375.0,-5.0,0.0,30.009722222222223,2025-08-04T10:48:00+00:00,15.0,24.0
EZ Bar Biceps Curl,20.0,15,15.0,15,1205.0,-5.0,0.0,4.990277777777778,2025-09-03T11:02:00+00:00,15.0,27.0
EZ Bar Biceps Curl,15.0,15,10.0,18,1470.0,-5.0,3.0,6.9840277777777775,2025-09-08T10:48:00+00:00,15.0,25.0
EZ Bar Biceps Curl,15.0,12,10.0,18,1375.0,-5.0,6.0,2.107638888888889,2025-09-15T10:25:00+00:00,15.0,27.0
EZ Bar Biceps Curl,20.0,16,15.0,15,1250.0,-5.0,-1.0,6.961111111111111,2025-09-17T13:00:00+00:00,15.0,28.0
EZ Bar Biceps Curl,15.0,20,10.0,20,1620.0,-5.0,0.0,5.034027777777778,2025-09-24T12:04:00+00:00,15.0,25.0
EZ Bar Biceps Curl,20.0,17,15.0,16,1605.0,-5.0,-1.0,6.875,2025-09-29T12:53:00+00:00,10.0,30.0
EZ Bar Biceps Curl,25.0,9,15.0,17,1350.0,-10.0,8.0,7.15,2025-10-06T09:53:00+00:00,20.0,20.0
EZ Bar Biceps Curl,25.0,9,20.0,12,1065.0,-5.0,3.0,8.540972222222223,2025-10-13T13:29:00+00:00,20.0,15.0
EZ Bar Biceps Curl,20.0,14,10.0,17,840.0,-10.0,3.0,5.338888888888889,2025-10-22T02:28:00+00:00,20.0,20.0
EZ Bar Biceps Curl,20.0,15,10.0,18,1530.0,-10.0,3.0,6.999305555555556,2025-10-27T10:36:00+00:00,20.0,18.0
EZ Bar Biceps Curl,20.0,20,10.0,26,1440.0,-10.0,6.0,7.045833333333333,2025-11-03T10:35:00+00:00,25.0,17.0
EZ Bar Biceps Curl,25.0,10,20.0,12,1765.0,-5.0,2.0,6.948611111111111,2025-11-10T11:41:00+00:00,25.0,20.0
EZ Bar Biceps Curl,30.0,10,25.0,13,1695.0,-5.0,3.0,14.001388888888888,2025-11-17T10:27:00+00:00,25.0,17.0
Elliptical Trainer,0.0,0,0.0,0,0.0,0.0,0.0,11.897916666666667,2026-01-28T13:15:00+00:00,0.0,0.0
Face Pull,30.0,13,25.0,12,3005.0,-5.0,-1.0,7.017361111111111,2025-05-22T10:21:00+00:00,35.0,26.0
Face Pull,35.0,9,25.0,12,3040.0,-10.0,3.0,6.948611111111111,2025-05-29T10:46:00+00:00,40.0,23.0
Face Pull,30.0,10,25.0,12,2870.0,-5.0,2.0,7.00625,2025-06-05T09:32:00+00:00,35.0,23.0
Face Pull,35.0,8,25.0,12,2850.0,-10.0,4.0,13.984722222222222,2025-06-12T09:41:00+00:00,35.0,25.0
Face Pull,35.0,10,25.0,15,3200.0,-10.0,5.0,14.15,2025-06-26T09:19:00+00:00,40.0,23.0
Face Pull,35.0,12,30.0,12,3320.0,-5.0,0.0,7.007638888888889,2025-07-10T12:55:00+00:00,40.0,24.0
Face Pull,35.0,10,30.0,13,3410.0,-5.0,3.0,7.0256944444444445,2025-07-17T13:06:00+00:00,40.0,24.0
Face Pull,40.0,17,35.0,15,4100.0,-5.0,-2.0,6.988194444444445,2025-07-24T13:43:00+00:00,40.0,25.0
Face Pull,40.0,19,30.0,17,3215.0,-10.0,-2.0,6.999305555555556,2025-07-31T13:26:00+00:00,35.0,22.0
Face Pull,45.0,15,35.0,9,2600.0,-10.0,-6.0,13.979166666666666,2025-08-07T13:25:00+00:00,30.0,26.0
Face Pull,40.0,20,30.0,14,3110.0,-10.0,-6.0,4.715972222222222,2025-08-21T12:55:00+00:00,30.0,22.0
Face Pull,40.0,18,30.0,12,2440.0,-10.0,-6.0,4.180555555555555,2025-08-26T06:06:00+00:00,35.0,22.0
Face Pull,35.0,20,25.0,11,1745.0,-10.0,-9.0,4.981944444444444,2025-08-30T10:26:00+00:00,35.0,26.0
Face Pull,30.0,10,20.0,12,2770.0,-10.0,2.0,8.127777777777778,2025-09-04T10:00:00+00:00,35.0,25.0
Face Pull,30.0,12,25.0,12,2975.0,-5.0,0.0,6.976388888888889,2025-09-12T13:04:00+00:00,40.0,20.0
Face Pull,40.0,20,45.0,16,1520.0,5.0,-4.0,7.928472222222222,2025-09-19T12:30:00+00:00,35.0,24.0
Face Pull,35.0,12,30.0,15,3320.0,-5.0,3.0,4.103472222222222,2025-09-27T10:47:00+00:00,35.0,25.0
Face Pull,35.0,15,30.0,15,3660.0,-5.0,0.0,6.627777777777778,2025-10-01T13:16:00+00:00,40.0,22.0
Face Pull,50.0,11,40.0,15,2885.0,-10.0,4.0,4.0375,2025-10-08T04:20:00+00:00,35.0,22.0
Face Pull,40.0,22,45.0,20,2550.0,5.0,-2.0,2.2305555555555556,2025-10-12T05:14:00+00:00,40.0,20.0
Face Pull,35.0,12,30.0,12,3080.0,-5.0,0.0,2.0902777777777777,2025-10-14T10:46:00+00:00,40.0,25.0
Face Pull,40.0,12,30.0,13,3805.0,-10.0,1.0,5.563888888888889,2025-10-16T12:56:00+00:00,40.0,20.0
Face Pull,40.0,20,50.0,15,1550.0,10.0,-5.0,7.4319444444444445,2025-10-22T02:28:00+00:00,35.0,25.0
Face Pull,35.0,15,30.0,12,3460.0,-5.0,-3.0,3.701388888888889,2025-10-29T12:50:00+00:00,40.0,22.0
Face Pull,35.0,10,30.0,12,3280.0,-5.0,2.0,4.241666666666666,2025-11-02T05:40:00+00:00,45.0,22.0
Face Pull,40.0,12,35.0,10,3470.0,-5.0,-2.0,6.957638888888889,2025-11-06T11:28:00+00:00,45.0,23.0
Face Pull,40.0,12,30.0,15,3765.0,-10.0,3.0,7.047916666666667,2025-11-13T10:27:00+00:00,45.0,25.0
Face Pull,40.0,11,30.0,9,3485.0,-10.0,-2.0,6.944444444444445,2025-11-20T11:36:00+00:00,45.0,26.0
Face Pull,50.0,16,40.0,15,3620.0,-10.0,-1.0,8.025694444444444,2025-11-27T10:16:00+00:00,45.0,23.0
Face Pull,40.0,15,30.0,15,3835.0,-10.0,0.0,5.998611111111111,2025-12-05T10:53:00+00:00,50.0,22.0
Face Pull,40.0,15,30.0,12,3610.0,-10.0,-3.0,7.010416666666667,2025-12-11T10:51:00+00:00,50.0,23.0
Face Pull,45.0,13,40.0,12,3930.0,-5.0,-1.0,6.975694444444445,2025-12-18T11:06:00+00:00,50.0,23.0
Face Pull,45.0,12,35.0,15,4250.0,-10.0,3.0,2.7694444444444444,2025-12-25T10:31:00+00:00,50.0,20.0
Face Pull,40.0,15,30.0,15,2875.0,-10.0,0.0,11.23263888888889,2025-12-28T04:59:00+00:00,50.0,23.0
Face Pull,45.0,18,35.0,15,4010.0,-10.0,-3.0,7.067361111111111,2026-01-08T10:34:00+00:00,50.0,26.0
Face Pull,60.0,12,40.0,20,3920.0,-20.0,8.0,6.999305555555556,2026-01-15T12:11:00+00:00,50.0,25.0
Face Pull,45.0,12,35.0,15,4260.0,-10.0,3.0,7.001388888888889,2026-01-22T12:10:00+00:00,50.0,23.0
Face Pull,60.0,17,45.0,15,3890.0,-15.0,-2.0,6.919444444444444,2026-01-29T12:12:00+00:00,40.0,25.0
Face Pull,35.0,14,30.0,15,4020.0,-5.0,1.0,7.094444444444444,2026-02-05T10:16:00+00:00,45.0,25.0
Face Pull,55.0,15,40.0,12,3530.0,-15.0,-3.0,6.936805555555556,2026-02-12T12:32:00+00:00,50.0,20.0
Face Pull,60.0,10,45.0,12,3130.0,-15.0,2.0,6.760416666666667,2026-02-19T11:01:00+00:00,55.0,20.0
Face Pull,60.0,13,40.0,12,3080.0,-20.0,-1.0,7.370138888888889,2026-02-26T05:16:00+00:00,50.0,18.0
Face Pull,60.0,14,45.0,12,3000.0,-15.0,-2.0,6.979861111111111,2026-03-05T14:09:00+00:00,55.0,16.0
Face Pull,45.0,12,55.0,16,880.0,10.0,4.0,6.615972222222222,2026-03-12T13:40:00+00:00,55.0,17.0
Hammer Curl (Dumbbell),7.5,10,5.0,15,785.0,-2.5,5.0,4.920138888888889,2025-05-21T11:52:00+00:00,12.5,12.0
Hammer Curl (Dumbbell),10.0,7,7.5,6,572.5,-2.5,-1.0,2.017361111111111,2025-05-26T09:57:00+00:00,12.5,14.0
Hammer Curl (Dumbbell),7.0,10,5.0,17,630.0,-2.0,7.0,6.975,2025-05-28T10:22:00+00:00,12.5,16.0
Hammer Curl (Dumbbell),7.5,12,5.0,15,615.0,-2.5,3.0,7.044444444444444,2025-06-04T09:46:00+00:00,12.5,20.0
Hammer Curl (Dumbbell),12.5,7,10.0,7,622.5,-2.5,0.0,13.931944444444444,2025-06-11T10:50:00+00:00,12.5,18.0
Hammer Curl (Dumbbell),10.0,12,7.5,7,850.0,-2.5,-5.0,5.0055555555555555,2025-06-25T09:12:00+00:00,12.5,21.0
Hammer Curl (Dumbbell),10.0,12,7.5,7,985.0,-2.5,-5.0,2.06875,2025-06-30T09:20:00+00:00,12.5,17.0
Hammer Curl (Dumbbell),12.5,8,7.5,11,590.0,-5.0,3.0,5.051388888888889,2025-07-02T10:59:00+00:00,12.5,20.0
Hammer Curl (Dumbbell),12.5,5,7.5,13,815.0,-5.0,8.0,2.0416666666666665,2025-07-07T12:13:00+00:00,15.0,15.0
Hammer Curl (Dumbbell),12.5,8,10.0,5,655.0,-2.5,-3.0,5.051388888888889,2025-07-09T13:13:00+00:00,12.5,18.0
Hammer Curl (Dumbbell),12.5,8,10.0,6,930.0,-2.5,-2.0,1.9548611111111112,2025-07-14T14:27:00+00:00,15.0,12.0
Hammer Curl (Dumbbell),12.5,9,10.0,8,767.5,-2.5,-1.0,4.844444444444444,2025-07-16T13:22:00+00:00,15.0,16.0
Hammer Curl (Dumbbell),12.5,10,10.0,12,1010.0,-2.5,2.0,2.1222222222222222,2025-07-21T09:38:00+00:00,15.0,18.0
Hammer Curl (Dumbbell),12.5,12,10.0,10,1185.0,-2.5,-2.0,5.010416666666667,2025-07-23T12:34:00+00:00,15.0,19.0
Hammer Curl (Dumbbell),12.5,10,10.0,8,1130.0,-2.5,-2.0,6.915972222222222,2025-07-28T12:49:00+00:00,15.0,22.0
Hammer Curl (Dumbbell),12.5,8,10.0,8,1002.5,-2.5,0.0,7.082638888888889,2025-08-04T10:48:00+00:00,12.5,22.0
Hammer Curl (Dumbbell),12.5,8,10.0,8,1055.0,-2.5,0.0,1.9972222222222222,2025-08-11T12:47:00+00:00,12.5,20.0
Hammer Curl (Dumbbell),15.0,12,10.0,10,530.0,-5.0,-2.0,6.908333333333333,2025-08-13T12:43:00+00:00,12.5,17.0
Hammer Curl (Dumbbell),15.0,12,10.0,13,867.5,-5.0,1.0,4.9527777777777775,2025-08-20T10:31:00+00:00,10.0,25.0
Hammer Curl (Dumbbell),12.5,11,7.5,12,777.5,-5.0,1.0,6.990277777777778,2025-08-25T09:23:00+00:00,10.0,27.0
Hammer Curl (Dumbbell),15.0,13,10.0,12,835.0,-5.0,-1.0,2.078472222222222,2025-09-01T09:09:00+00:00,15.0,13.0
Hammer Curl (Dumbbell),15.0,11,10.0,13,897.5,-5.0,2.0,4.990277777777778,2025-09-03T11:02:00+00:00,15.0,16.0
Hammer Curl (Dumbbell),12.5,13,10.0,10,1102.5,-2.5,-3.0,3.140277777777778,2025-09-08T10:48:00+00:00,15.0,17.0
Hammer Curl (Dumbbell),12.5,10,10.0,7,975.0,-2.5,-3.0,3.84375,2025-09-11T14:10:00+00:00,15.0,17.0
Hammer Curl (Dumbbell),10.0,13,12.5,13,1007.5,2.5,0.0,2.107638888888889,2025-09-15T10:25:00+00:00,15.0,18.0
Hammer Curl (Dumbbell),10.0,16,7.5,16,1275.0,-2.5,0.0,5.0159722222222225,2025-09-17T13:00:00+00:00,15.0,18.0
Hammer Curl (Dumbbell),12.5,12,7.5,12,1290.0,-5.0,0.0,1.945138888888889,2025-09-22T13:23:00+00:00,15.0,16.0
Hammer Curl (Dumbbell),10.0,12,7.5,12,1225.0,-2.5,0.0,5.034027777777778,2025-09-24T12:04:00+00:00,15.0,16.0
Hammer Curl (Dumbbell),15.0,15,7.5,27,1305.0,-7.5,12.0,6.875,2025-09-29T12:53:00+00:00,15.0,16.0
Hammer Curl (Dumbbell),10.0,12,5.0,20,1097.5,-5.0,8.0,1.76875,2025-10-06T09:53:00+00:00,12.5,23.0
